,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
22,77.01794487874045,62.944942885235854,85.09249603854414,73.00043493872857,71.42876202995674,70.44054344958239,88.48585571114678,84.48146745629238,88.60002754957034,69.82766670525758,64.88658699576202,82.1958514489015,82.38655220221445,83.40541532114354,81.35425860893574,61.441082773241625,84.41173196056238,84.89816799548036,82.36989544327464,75.22849591608558,75.43005866881651,65.79315587264492,74.87502647142875,67.43377047970424,66.95387395484623
23,72.19739768269669,75.2827113864993,86.14819399326785,81.26941724061464,68.90544517140628,64.00789186368499,85.0929659307573,83.78603038347758,84.86787264912272,82.78774500430801,65.85093181944866,90.71108833067855,83.75911141691384,85.36164415229561,71.74884658360784,69.76746440397197,81.79359238238737,81.46529764495497,80.53458428022309,67.53622456607658,73.31781743968936,72.87506678844801,77.3105079416561,79.87982454149505,62.81058995143753
24,69.54204393286645,79.44283737469497,73.81187847219569,69.3744140241283,74.10803993772454,66.49980103881227,77.89502024346315,92.25748054792356,87.37108464659339,69.01376301834455,60.32442887550783,82.40153569495365,80.81122857293649,79.11306404441989,78.04829737667974,60.797583324058486,87.91255705549501,90.91794276818509,83.85701421420819,78.88394000955323,72.99939135861979,77.81004008313451,85.77874552732487,77.02026124486206,65.1898197616573
25,71.50062961783084,73.16138954065555,68.16082318780451,79.69132641697017,69.6285590194893,67.85461074395677,83.70700994463033,80.95943729621632,80.96703134507071,75.54187819156836,63.00163182065151,86.22587151311306,90.86082893574225,80.7367155636062,73.23984714634764,59.251283685840946,85.634746350918,90.78930074733523,85.91556559973397,73.48045013122406,76.03385272601292,80.17928629651578,71.85390723411524,78.49981569294661,74.89063262717006
26,79.10392665095577,73.51648793451687,78.6074544961248,68.27265153310188,76.95975780745532,60.60083382975261,78.05047834688727,89.38983725326636,87.43480362889352,83.65155896035527,69.20339571235517,82.65381829904666,81.77229058125549,91.58822649965114,79.9405430276186,73.3082831126089,82.75460886190638,86.44038757161508,86.88028637990892,79.68893593862063,66.57151186638589,72.32418592297908,76.04597729432494,76.12401726083786,74.00476426875059
27,76.08410463161435,74.33239771472843,76.29016286128835,63.9184738905311,77.73072075743596,56.43959453537056,82.81209418943676,75.66609981930478,87.01436034942054,69.16353658084508,66.03312099289553,87.4048490617246,87.02041472235828,83.15389237357012,77.30652486999088,67.10111940170313,85.6553011548123,84.90679007995136,83.94545460543544,81.59282398251989,69.84262590748315,78.03520516952881,68.13846626917342,69.88045233366192,75.50787833744393
28,83.67075624558369,79.78430903492944,78.19725046196882,82.9690365438747,61.28047863101943,69.39959135204919,86.53307111750507,80.27309553434831,85.6804889083404,66.62685353871434,67.06638816601776,88.666425719114,77.76363862524322,82.39411838145298,66.43704788326016,67.53364595603004,91.8362015541582,89.0629376514792,82.39298125116642,67.46210280980046,76.55608835509153,70.53159403275924,70.5894864733449,72.40751783699297,74.55109654758895
29,73.70237965059273,64.67236465921897,74.38189148793893,70.08316267915642,77.770493826805,64.23722101524977,86.93668683373798,82.79568276065291,82.81786230231575,73.97854260155468,77.85306392449877,84.893918841755,82.04590920647247,85.56459260143596,84.3604610557364,61.67557640269456,86.2244701894285,80.25211357244278,83.16404422842427,73.46486794437033,75.40653567788573,67.57175637398882,83.08508836482933,81.12466526919661,72.44325200594703
30,73.39351431613368,71.25599539388205,70.86143503963368,68.51723432812479,78.04352609091603,79.73918403306664,82.96756591310655,84.29368053479094,83.54370754430316,78.2473628151031,81.52965113166081,85.12940808023129,85.83331214531181,82.71984363845382,80.39836481261588,79.43940097189957,88.14541717336465,94.34691437676078,76.708161279832,71.47133095427924,68.32620827940346,71.96415227335396,76.16922249632465,72.86262718913996,64.17076589964928
31,75.49778399206335,64.06582697123876,81.09771581104118,82.81036213522171,78.24544720090587,72.86970979777485,81.52672508063631,83.04126789692907,82.90685353460566,81.01842422358774,66.84824391946391,87.96898228933884,83.7532512041312,84.76594337284101,75.01506757457989,59.773918285848055,87.59326374771166,84.53190334668129,87.00643576947566,77.84759120129739,71.52595357202985,68.93940093221592,80.25430859474007,81.00300469851716,71.45072259068556
32,70.41416200286417,72.69595524449002,84.84477025178647,63.01877304643625,78.14476302270012,76.39112339724552,81.74727161728005,92.24565248594028,84.3487896866432,76.38334176376495,67.47368540371109,89.06794810177793,83.62564679529544,88.9388437492404,66.93360871931596,60.70417583005841,84.7157011900872,89.65142396482197,96.68590868390508,74.61767120542083,74.7544913129345,69.98322277990046,66.87953771585292,81.94598463859926,77.99057518785497
33,78.54282319454431,72.42135543972562,79.94944733773104,80.8498268922681,70.0741520974114,72.68007940873478,82.14888074814178,86.23879805447494,87.01293173315617,75.14825876202931,65.80267511737453,81.15016427679898,83.9226304725567,89.30295533610033,71.58045727502997,63.18278391521098,76.37780812151684,90.8520688138607,82.11928442210619,81.76441641263773,68.17299848771911,73.38086856928322,73.62265865752924,69.39641774016661,78.21276421609822
34,76.80773309094684,72.48490099363572,82.47178317298423,75.78330033954813,72.90116541217853,73.5139155096724,85.90858842256952,83.36936132960153,94.92137005638646,75.50563022867364,73.81869168270008,84.39250467264716,92.88381917715401,80.46229242045175,68.23659394360185,75.35776114272993,82.12347902402033,91.79223543987199,80.00024185850654,81.36882528788797,71.47477843495116,74.94932905366731,71.73142814922198,74.464747133572,77.58655561758698
